,0,1,2,3,4,5,6,7
176,005461.png,1242,375,Car,0.00,181.57,99.72,360.20
177,005461.png,1242,375,Car,862.40,188.76,1241.00,359.84
178,005461.png,1242,375,Car,0.00,171.94,172.08,305.88
179,005461.png,1242,375,Car,0.00,166.70,251.46,284.57
180,005461.png,1242,375,Car,89.33,157.67,314.24,264.10
181,005461.png,1242,375,Car,182.37,167.50,341.67,235.94
182,005461.png,1242,375,Car,464.01,177.31,506.60,205.80
183,005461.png,1242,375,DontCare,379.35,175.02,420.02,191.73
184,005461.png,1242,375,DontCare,447.06,176.06,475.23,191.73
185,005140.png,1242,375,Car,604.57,175.55,648.56,219.73
186,005140.png,1242,375,Car,0.00,203.90,364.50,374.00
187,005140.png,1242,375,Car,307.73,187.11,458.96,286.99
188,005140.png,1242,375,Car,453.17,182.15,522.45,226.44
189,005140.png,1242,375,Car,512.76,173.60,550.26,201.89
190,005140.png,1242,375,DontCare,581.44,155.23,611.69,180.27
191,004273.png,1242,375,Car,140.99,180.30,358.44,324.23
192,004273.png,1242,375,Pedestrian,748.97,179.52,770.97,241.22
193,004273.png,1242,375,DontCare,421.10,187.00,429.80,206.38
194,004273.png,1242,375,DontCare,445.36,187.00,457.94,207.35
195,004649.png,1242,375,Car,601.07,176.22,628.67,203.50
196,004649.png,1242,375,Car,349.87,186.39,412.70,219.69
197,004649.png,1242,375,DontCare,191.14,175.36,204.69,229.67
198,004649.png,1242,375,DontCare,263.91,187.00,279.41,218.99
199,004649.png,1242,375,DontCare,493.87,182.15,515.19,195.71
200,004649.png,1242,375,DontCare,526.86,181.18,545.27,191.82
201,004649.png,1242,375,DontCare,767.50,169.53,785.91,201.52
202,007279.png,1242,375,Car,581.35,176.74,599.37,191.02
203,007279.png,1242,375,Car,375.02,181.25,446.81,225.38
204,007279.png,1242,375,DontCare,540.81,159.40,578.35,190.69
205,006856.png,1241,376,Car,571.04,173.66,617.18,215.73
206,006856.png,1241,376,Misc,0.00,105.18,325.75,375.00
207,006856.png,1241,376,Van,223.25,120.37,446.95,296.15
208,006856.png,1241,376,Car,441.05,170.94,509.54,222.79
209,006856.png,1241,376,Car,490.88,178.00,530.22,206.14
210,006856.png,1241,376,Van,514.93,159.88,550.41,197.54
211,004952.png,1242,375,Car,592.75,174.00,616.37,187.88
212,004952.png,1242,375,Car,718.26,172.28,737.48,188.16
213,004952.png,1242,375,DontCare,480.40,172.94,510.65,187.56
214,004952.png,1242,375,DontCare,672.06,168.77,710.64,181.31
215,004952.png,1242,375,DontCare,828.31,162.52,913.77,181.31
216,004952.png,1242,375,DontCare,739.77,166.69,755.44,182.36
217,005839.png,1241,376,Car,755.55,162.98,803.76,182.53
218,005839.png,1241,376,Car,550.90,191.78,729.55,356.81
219,005839.png,1241,376,Car,567.47,181.54,656.44,258.01
220,005839.png,1241,376,DontCare,170.37,168.18,420.04,192.25
221,005839.png,1241,376,DontCare,476.39,164.00,539.10,179.71
222,005839.png,1241,376,DontCare,595.46,158.78,623.70,178.67
223,005839.png,1241,376,DontCare,712.43,153.56,746.94,168.23
224,002510.png,1242,375,Car,582.33,176.16,633.43,217.08
225,002510.png,1242,375,Car,0.00,174.60,189.20,374.00
226,002510.png,1242,375,Car,222.82,184.47,388.22,261.66
227,002510.png,1242,375,Car,433.87,188.64,543.49,266.21
228,002510.png,1242,375,Car,485.43,181.09,565.34,240.55
229,002510.png,1242,375,Car,374.59,172.00,491.35,220.67
230,002510.png,1242,375,Car,807.12,198.40,1241.00,374.00
231,002510.png,1242,375,Truck,688.24,62.46,894.34,268.50
232,002510.png,1242,375,Pedestrian,909.52,161.32,958.52,293.02
233,002510.png,1242,375,Car,650.41,174.74,699.04,213.20
234,002510.png,1242,375,Truck,623.91,140.16,666.94,196.57
235,002510.png,1242,375,Car,267.34,177.11,337.17,208.49
236,002510.png,1242,375,Car,576.16,175.23,610.24,206.34
237,002510.png,1242,375,Car,17.50,177.11,162.59,232.06
238,002510.png,1242,375,DontCare,506.97,163.71,560.95,179.53
239,005610.png,1242,375,Car,76.75,184.04,582.02,374.00
240,005610.png,1242,375,Car,520.25,178.59,755.90,337.22
241,005610.png,1242,375,Car,1067.79,209.19,1241.00,374.00
242,005610.png,1242,375,Car,730.83,181.24,851.91,262.02
243,005610.png,1242,375,Car,870.60,176.23,930.48,216.48
244,005610.png,1242,375,Car,1029.93,188.18,1105.68,254.11
245,005610.png,1242,375,DontCare,946.02,169.81,995.02,196.94
246,005610.png,1242,375,DontCare,1008.50,175.02,1046.04,207.35
247,002654.png,1242,375,Car,113.15,190.34,363.12,314.76
248,002654.png,1242,375,Cyclist,752.65,157.11,775.65,198.70
249,002654.png,1242,375,DontCare,329.73,164.36,582.30,195.06
250,002654.png,1242,375,DontCare,659.64,159.18,696.16,184.70
251,002654.png,1242,375,DontCare,781.90,157.89,793.19,166.59
252,002654.png,1242,375,DontCare,841.41,157.24,855.29,164.65
253,002654.png,1242,375,DontCare,952.67,151.42,995.01,162.71
254,006531.png,1242,375,Van,882.17,122.40,1241.00,374.00
255,006531.png,1242,375,Car,359.51,190.72,513.05,301.67
256,006531.png,1242,375,Car,663.08,187.27,728.89,241.52
257,006531.png,1242,375,Car,540.26,184.26,574.87,214.73
258,006531.png,1242,375,Car,643.96,186.42,684.71,220.68
259,006531.png,1242,375,DontCare,573.10,185.44,606.48,203.19
260,006531.png,1242,375,DontCare,616.85,179.19,651.27,203.19
261,007068.png,1242,375,Car,377.67,191.87,494.54,271.37
262,007068.png,1242,375,Car,523.09,185.53,552.38,208.39
263,007068.png,1242,375,Van,567.89,162.30,609.83,189.90
264,007068.png,1242,375,Car,415.15,183.85,501.11,215.04
265,006948.png,1242,375,Car,0.00,184.67,261.77,370.54
266,006948.png,1242,375,Car,490.79,181.28,545.61,216.20
267,006948.png,1242,375,Car,215.83,184.95,375.94,274.09
268,006948.png,1242,375,Car,384.32,186.37,456.81,230.16
269,006948.png,1242,375,Car,629.28,173.77,657.31,198.31
270,006948.png,1242,375,Car,703.57,164.65,791.58,192.02
271,006948.png,1242,375,Car,699.12,159.11,775.54,191.80
272,006948.png,1242,375,Van,878.66,147.79,962.41,178.62
273,006948.png,1242,375,DontCare,1091.90,151.06,1214.86,204.23
274,006948.png,1242,375,DontCare,791.85,155.23,867.93,176.10
275,006948.png,1242,375,DontCare,580.40,169.81,592.94,185.48
276,006948.png,1242,375,DontCare,471.02,183.35,507.52,210.47
277,006948.png,1242,375,DontCare,537.69,176.06,563.77,187.56
278,006948.png,1242,375,DontCare,603.31,171.90,626.27,186.53
279,006948.png,1242,375,DontCare,657.48,163.56,701.27,181.31
280,002030.png,1224,370,Pedestrian,238.66,151.29,301.66,309.14
281,004802.png,1242,375,Car,550.77,190.61,689.32,280.39
282,004802.png,1242,375,Car,451.11,191.81,730.94,343.33
283,004802.png,1242,375,Car,643.44,189.84,741.82,250.11
284,004802.png,1242,375,Car,716.58,189.03,773.81,229.96
285,004802.png,1242,375,Cyclist,959.27,171.38,977.18,210.56
286,004802.png,1242,375,Cyclist,941.04,170.51,954.82,203.86
287,004802.png,1242,375,Van,791.39,166.27,827.02,206.75
288,004802.png,1242,375,Car,775.61,184.73,809.15,212.57
289,004802.png,1242,375,DontCare,824.15,177.10,864.82,199.02
290,002979.png,1224,370,Pedestrian,636.73,145.24,660.73,202.41
291,002979.png,1224,370,Pedestrian,243.94,139.35,287.27,259.19
292,002979.png,1224,370,Pedestrian,597.27,139.17,627.93,209.50
293,002979.png,1224,370,Pedestrian,815.48,114.85,1173.90,369.00
294,002979.png,1224,370,Pedestrian,758.21,170.96,972.68,369.00
295,002979.png,1224,370,Pedestrian,800.50,126.74,1001.08,369.00
296,002979.png,1224,370,Pedestrian,901.42,189.68,1083.80,369.00
297,002979.png,1224,370,Pedestrian,936.08,146.03,1143.14,369.00
298,002979.png,1224,370,Pedestrian,1060.99,161.97,1223.00,369.00
299,002979.png,1224,370,Pedestrian,491.73,163.79,584.06,369.00
300,002979.png,1224,370,Pedestrian,568.15,142.89,629.81,309.51
301,002979.png,1224,370,Pedestrian,689.12,153.99,746.12,305.62
302,002979.png,1224,370,Pedestrian,738.93,138.85,797.93,301.04
303,002979.png,1224,370,Pedestrian,800.32,135.48,885.99,287.63
304,002979.png,1224,370,Van,0.00,0.00,267.19,369.00
305,002979.png,1224,370,DontCare,296.89,142.42,371.12,199.43
306,002979.png,1224,370,DontCare,433.96,144.97,448.90,184.13
307,002979.png,1224,370,DontCare,488.14,141.79,508.18,158.64
308,002979.png,1224,370,DontCare,541.06,145.61,560.46,159.27
309,002979.png,1224,370,DontCare,1188.10,121.39,1212.60,137.60
310,007422.png,1242,375,Car,0.00,221.34,284.59,374.00
311,007422.png,1242,375,Car,656.31,179.70,715.34,226.53
312,007422.png,1242,375,Car,246.53,197.71,437.82,315.30
313,007422.png,1242,375,Car,820.01,166.79,1023.92,226.89
314,007422.png,1242,375,Car,795.98,152.39,959.82,218.76
315,007422.png,1242,375,Misc,404.34,200.81,457.25,229.24
316,007422.png,1242,375,Car,426.01,183.55,484.10,225.91
317,007422.png,1242,375,Car,317.60,192.82,420.26,254.21
318,007422.png,1242,375,Car,751.72,166.45,874.17,210.44
319,007422.png,1242,375,Car,475.80,185.42,515.12,213.93
320,007422.png,1242,375,Van,1095.55,135.82,1241.00,191.15
321,007422.png,1242,375,DontCare,513.73,167.73,656.48,206.31
322,007422.png,1242,375,DontCare,685.60,162.52,753.35,192.77
323,007422.png,1242,375,DontCare,975.19,150.02,1099.19,193.81
324,001120.png,1242,375,Car,0.00,162.07,257.53,374.00
325,001120.png,1242,375,Van,1145.64,33.85,1241.00,291.17
326,001120.png,1242,375,Car,739.50,171.79,920.25,276.85
327,001120.png,1242,375,Car,314.28,168.24,476.75,289.50
328,001120.png,1242,375,Car,683.68,156.14,802.43,237.10
329,001120.png,1242,375,Car,415.64,167.28,502.97,246.06
330,001120.png,1242,375,Car,447.47,177.41,517.25,223.20
331,001120.png,1242,375,Car,505.15,167.06,539.92,198.92
332,001120.png,1242,375,DontCare,540.61,163.71,560.31,196.35
333,001120.png,1242,375,DontCare,593.01,162.42,632.12,184.71
334,002307.png,1242,375,Pedestrian,730.30,176.26,741.63,212.49
335,002307.png,1242,375,Car,32.33,190.27,188.01,255.47
336,002307.png,1242,375,Car,9.76,187.56,152.75,245.44
337,002307.png,1242,375,Car,343.44,182.73,397.83,211.18
338,002307.png,1242,375,DontCare,671.28,174.06,709.74,200.23
339,002307.png,1242,375,DontCare,855.64,193.47,987.90,229.99
340,002307.png,1242,375,DontCare,547.08,176.65,561.61,189.23
341,002307.png,1242,375,DontCare,599.48,177.30,610.12,184.06
342,002307.png,1242,375,DontCare,752.79,178.59,888.28,192.47
343,001278.png,1242,375,Car,567.36,173.10,620.78,224.79
344,001278.png,1242,375,Car,452.05,179.96,499.92,217.28
345,001278.png,1242,375,Car,527.14,177.32,550.79,194.98
346,001278.png,1242,375,Car,990.03,159.51,1081.20,192.58
347,001278.png,1242,375,Van,1065.53,139.64,1216.97,194.28
348,001278.png,1242,375,DontCare,626.00,155.95,787.37,185.35
349,007263.png,1242,375,Car,581.03,181.21,637.39,227.18
350,007263.png,1242,375,Car,0.00,186.31,291.16,374.00
351,007263.png,1242,375,Car,182.41,159.90,419.30,309.91
352,007263.png,1242,375,Car,339.14,184.20,494.23,251.09
353,007263.png,1242,375,Car,368.31,179.22,502.45,236.27
354,007263.png,1242,375,Car,432.44,179.23,523.08,217.07
355,007263.png,1242,375,Car,467.65,174.12,545.10,206.94
356,007263.png,1242,375,Van,713.78,126.30,917.10,285.13
357,007263.png,1242,375,Car,700.66,181.57,791.77,241.18
358,007263.png,1242,375,Car,659.26,179.57,697.21,208.05
359,007263.png,1242,375,Van,637.71,163.14,667.95,194.65
360,007263.png,1242,375,Car,587.18,174.22,624.04,206.42
361,007263.png,1242,375,Car,0.00,177.25,102.06,243.30
362,007263.png,1242,375,Van,163.57,147.62,319.98,246.55
363,007263.png,1242,375,Car,92.59,169.38,214.24,225.03
364,007263.png,1242,375,DontCare,543.94,166.69,579.40,199.02
365,004391.png,1242,375,Car,179.36,198.23,432.00,360.46
366,004391.png,1242,375,Car,938.69,192.72,1241.00,374.00
367,004391.png,1242,375,Car,743.21,184.17,1021.70,362.58
368,004391.png,1242,375,Car,686.51,182.49,827.51,270.50
369,004391.png,1242,375,Car,353.96,194.98,487.59,279.70
370,004391.png,1242,375,Car,429.12,188.44,502.15,246.41
371,004391.png,1242,375,Car,465.18,187.54,527.39,232.56
372,004391.png,1242,375,Car,673.82,182.51,760.15,242.11
373,004391.png,1242,375,Car,664.64,180.20,722.98,225.46
374,004391.png,1242,375,Car,837.45,158.85,937.51,205.83
375,004391.png,1242,375,Car,629.87,178.69,664.88,203.21
376,004391.png,1242,375,Car,557.51,181.37,593.22,196.71
377,004391.png,1242,375,Cyclist,536.84,179.84,552.83,196.71
378,004391.png,1242,375,DontCare,595.19,180.19,633.33,198.03
379,000073.png,1242,375,Pedestrian,237.23,173.70,312.33,365.33
380,000073.png,1242,375,Pedestrian,189.46,158.23,256.19,356.44
381,000073.png,1242,375,Pedestrian,752.95,164.08,791.19,288.78
382,000073.png,1242,375,Cyclist,444.66,170.48,485.70,241.86
383,000073.png,1242,375,Cyclist,494.34,168.08,517.01,223.73
384,000073.png,1242,375,Pedestrian,546.73,177.07,560.52,214.88
385,000073.png,1242,375,Pedestrian,535.68,174.41,549.63,214.38
386,000073.png,1242,375,DontCare,596.02,166.69,615.85,203.19
387,001674.png,1242,375,Car,593.55,171.96,654.78,221.70
388,001674.png,1242,375,Car,263.86,177.73,477.07,274.56
389,001674.png,1242,375,Car,391.62,167.72,503.85,224.66
390,001674.png,1242,375,Car,421.29,168.50,529.63,216.61
391,001674.png,1242,375,Car,464.03,168.23,551.17,202.35
392,001674.png,1242,375,Van,509.35,152.03,582.31,190.11
393,001674.png,1242,375,Car,854.18,188.69,1198.67,362.11
394,001674.png,1242,375,Car,766.21,183.29,921.15,271.79
395,001674.png,1242,375,Car,726.52,162.37,833.55,237.76
396,001674.png,1242,375,Pedestrian,695.46,167.08,711.46,205.43
397,001674.png,1242,375,Car,783.83,165.70,895.08,208.48
398,001674.png,1242,375,Car,0.00,172.73,195.34,290.84
399,001674.png,1242,375,Car,142.14,168.95,314.48,243.62
400,001674.png,1242,375,Car,601.22,166.35,637.18,199.16
401,001674.png,1242,375,Car,256.70,168.07,359.91,226.09
402,001674.png,1242,375,Van,892.71,147.20,1061.27,210.53
403,001674.png,1242,375,Car,0.00,167.66,56.69,237.84
404,001674.png,1242,375,DontCare,349.78,147.54,481.39,173.71
405,002523.png,1242,375,Truck,564.00,115.38,648.02,217.15
406,002523.png,1242,375,Car,0.00,190.12,98.60,234.00
407,002523.png,1242,375,Car,87.10,192.37,176.13,224.09
408,002523.png,1242,375,Car,147.58,187.15,215.78,216.92
409,002523.png,1242,375,DontCare,428.05,153.36,513.08,186.64
410,002523.png,1242,375,DontCare,331.02,174.06,344.25,187.94
411,004021.png,1224,370,Pedestrian,881.86,137.11,952.75,301.79
412,004903.png,1224,370,Pedestrian,534.62,138.78,613.28,369.00
413,004903.png,1224,370,Truck,0.00,0.00,156.44,369.00
414,004829.png,1242,375,Car,514.99,181.35,570.98,219.34
415,004829.png,1242,375,DontCare,559.56,160.44,580.43,177.15
416,002196.png,1242,375,Car,368.72,184.86,406.03,214.14
417,002196.png,1242,375,DontCare,566.49,176.00,581.66,205.40
418,002786.png,1242,375,Car,149.11,193.30,470.45,374.00
419,002786.png,1242,375,Car,835.56,207.99,1241.00,374.00
420,002786.png,1242,375,Car,752.59,187.53,982.02,351.47
421,002786.png,1242,375,Car,488.22,187.76,547.70,239.62
422,002786.png,1242,375,Car,659.15,180.43,725.07,235.97
423,002786.png,1242,375,Car,546.98,185.00,577.72,210.51
424,002786.png,1242,375,Van,636.52,176.90,670.87,209.33
425,002786.png,1242,375,DontCare,583.30,179.88,626.93,197.64
426,001117.png,1242,375,Car,630.80,175.46,653.85,195.24
427,001117.png,1242,375,Car,667.61,180.68,729.33,226.81
428,001117.png,1242,375,Car,763.02,182.19,977.84,310.17
429,001117.png,1242,375,Car,729.10,175.97,783.84,207.71
430,001117.png,1242,375,Truck,853.81,26.98,1241.00,293.87
431,001117.png,1242,375,DontCare,611.12,170.83,623.06,181.47
432,001117.png,1242,375,DontCare,545.14,165.01,556.43,177.59
433,000233.png,1242,375,Car,527.44,176.92,574.06,214.95
434,000233.png,1242,375,Car,432.49,173.01,465.30,200.99
