,0,1,2,3,4,5
190,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_193.jpg,0,157,0,201,4
191,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_194.jpg,0,174,67,90,9
192,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_196.jpg,0,191,55,172,9
193,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_197.jpg,0,156,81,185,62
194,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_198.jpg,0,174,71,122,7
195,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_199.jpg,0,179,32,210,16
196,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_200.jpg,0,158,79,100,6
197,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_201.jpg,0,155,60,153,24
198,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_202.jpg,0,135,22,70,7
199,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_10.jpg,0,183,137,95,48
200,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_100.jpg,0,211,139,91,58
201,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_101.jpg,0,155,67,138,70
202,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_102.jpg,0,216,70,172,15
203,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_103.jpg,0,155,11,224,10
204,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_104.jpg,0,210,83,213,16
205,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_105.jpg,0,165,84,110,44
206,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_106.jpg,0,160,20,79,10
207,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_107.jpg,0,223,51,133,9
208,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_108.jpg,0,128,97,102,55
209,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_109.jpg,0,147,46,108,16
210,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_11.jpg,0,191,94,75,15
211,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_110.jpg,0,164,80,115,40
212,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_111.jpg,0,172,58,165,31
213,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_112.jpg,0,167,68,158,25
214,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_113.jpg,0,211,20,76,0
215,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_114.jpg,0,132,24,162,30
216,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_115.jpg,0,133,34,104,7
217,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_116.jpg,0,144,97,123,69
218,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_117.jpg,0,185,41,212,19
219,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_118.jpg,0,162,54,160,38
220,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_119.jpg,0,135,50,163,62
221,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_12.jpg,0,186,64,90,26
222,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_120.jpg,0,111,54,80,16
223,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_121.jpg,0,147,59,112,47
224,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_122.jpg,0,176,61,134,37
225,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_123.jpg,0,122,53,83,27
226,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_124.jpg,0,193,45,126,18
227,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_125.jpg,0,116,2,138,11
228,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_126.jpg,0,169,11,112,42
229,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_127.jpg,0,175,88,158,0
230,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_128.jpg,0,170,65,114,52
231,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_129.jpg,0,174,70,72,14
232,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_13.jpg,0,184,61,101,23
233,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_130.jpg,0,164,11,117,0
234,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_131.jpg,0,156,66,115,21
235,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_132.jpg,0,159,54,88,5
236,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_133.jpg,0,202,54,122,7
237,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_134.jpg,0,99,34,95,19
238,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_135.jpg,0,120,71,124,38
239,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_136.jpg,0,164,76,145,54
240,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_137.jpg,0,156,96,160,80
241,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_138.jpg,0,203,95,116,48
242,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_139.jpg,0,88,46,90,32
243,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_14.jpg,0,198,115,146,14
244,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_140.jpg,0,215,140,142,12
245,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_141.jpg,0,181,24,138,26
246,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_142.jpg,0,176,135,149,81
247,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_143.jpg,0,145,65,114,18
248,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_144.jpg,0,170,116,104,25
249,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_145.jpg,0,160,85,107,9
250,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_146.jpg,0,166,75,125,75
251,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_147.jpg,0,137,58,182,101
252,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_148.jpg,0,140,76,150,49
253,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_149.jpg,0,214,50,135,7
254,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_15.jpg,0,158,88,101,45
255,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_150.jpg,0,156,20,97,5
256,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_151.jpg,0,203,129,98,37
257,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_pit_bull_terrier_152.jpg,0,126,14,114,7
